,Song,Artist(s),Writer(s),Album,Year,Lyrics,Type
10,The Archer,Taylor Swift,Taylor Swift Jack Antonoff,Lover,2019,"Combat, I'm ready for combat
I say I don't want that, but what if I do?
'Cause cruelty wins in the movies
I've got a hundred thrown-out speeches I almost said to you

Easy they come, easy they go
I jump from the train, I ride off alone
I never grew up, it's getting so old
Help me hold on to you

I've been the archer, I've been the prey
Who could ever leave me, darling
But who could stay?

Dark side, I search for your dark side
But what if I'm alright, right, right, right here?
And I cut off my nose just to spite my face
Then I hate my reflection for years and years

I wake in the night, I pace like a ghost
The room is on fire, invisible smoke
And all of my heroes die all alone
Help me hold on to you
I've been the archer, I've been the prey
Screaming, who could ever leave me, darling
But who could stay?
(I see right through me, I see right through me)

'Cause they see right through me
They see right through me
They see right through
Can you see right through me?
They see right through
They see right through me
I see right through me
I see right through me

All the king's horses, all the king's men
Couldn't put me together again
'Cause all of my enemies started out friends
Help me hold on to you

I've been the archer, I've been the prey
Who could ever leave me, darling
But who could stay?
(I see right through me, I see right through me)
Who could stay?
Who could stay?
Who could stay?
You could stay
You could stay
Combat, I'm ready for combat",Solo
11,August,Taylor Swift,Taylor Swift Jack Antonoff,Folklore,2020,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

'Cause you were never mine
Never mine
But do you remember?
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
(Remember when I pulled up and said ""Get in the car"")
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(""Meet me behind the mall"")
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (For the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)",Solo
12,Babe,Sugarland featuring Taylor Swift,Taylor Swift Patrick Monahan,Bigger,2018,"What a shame
Didn't wanna be the one that got away, yeah
Big mistake, broke the sweetest promise
That you never should have made

I'm here on the kitchen floor
You call, but I won't hear it
You said ""No one else""

How could you do this, babe?
You really blew this, babe
We ain't gettin' through this one, babe
This is the last time I'll ever call you, babe
This is the last time, this is the last time
This is the last time, I'll ever call you ""babe""

What a waste
Takin' down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe

I break down every time you call
We're a wreck, you're the wreckin' ball
We said, ""No one else""
How could you do this, babe?
You really blew this, babe
We ain't gettin' through this one, babe
This is the last time I'll ever call you, babe
This is the last time, this is the last time
This is the last time

Since you admitted it (Oh), I keep picturin' (Oh)
Her lips on your neck (Oh), I can't unsee it (Oh)
I hate that because of you (Oh), I can't love you, babe
What a shame, didn't want to be the one that got away

How could you do this, babe?
You really blew this, babe
We ain't gettin' through this one, babe
How could you do this, babe?
This is the last time, this is the last time
This is the last time I'll ever call you, babe

How could you do this, babe?
I'm here on the kitchen floor, you call but I won't hear it
You said ""No one else,"" we ain't gettin' through this one, babe
I break down every time you call, this is the last time
We're a wreck, you're the wreckin' ball
This is the last time
You said ""No one else""
This is the last time I'll ever call you ""babe""",Feature
13,Babe (Taylor's Version),Taylor Swift,Taylor Swift Patrick Monahan,Red (Taylor's Version),2021,"What about your promises, promises?
What about your promises, promises, promises? (No)

What a shame
Didn't wanna be the one that got away, yeah
Big mistake, you broke the sweetest promise
That you never should have made

I'm here on the kitchen floor
You call, but I won't hear it
You said, ""No one else""
How could you do this, babe? (What about your promises, promises?)

You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you, babe
(What about your promises, promises, promises?)

What a waste
Takin' down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe
I break down every time you call
We're a wreck, you're the wrecking ball
We said, ""No one else""
How could you do this, babe? (What about your promises, promises?)

You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you

Since you admitted it, I keep picturing
Her lips on your neck, I can't unsee it
I hate that because of you, I can't love you, babe

What a shame, didn't want to be the one that got away
How could you do this, babe? (Babe)

You really blew this, babe (Babe)
We ain't getting through this one, babe (Babe)
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you
I'm here on the kitchen floor, you call but I won't hear it
You said, ""No one else""
We ain't getting through this one, babe
I break down every time you call
We're a wreck, you're the wrecking ball
We said, ""No one else""
This is the last time I'll ever call you, babe (Babe)
(What about your promises, promises, promises?)",Solo
14,"Baby (live cover of Baby, Don't You Break My Heart Slow)",Taylor Swift,James Newton Howard Vonda Shepard,Napster Live,2006,"Every night for so long baby
I like the way you needed me
Every time things got rocky

I was believing in you
Am I mistaken do you say
Do you say what you mean
I want our love to last forever

But I'd rather you be mean than love and lie
I'd rather hear the truth and have to say goodbye
I'd rather take a blow at least then I would know
But baby don't you break my heart slow

I like the way you'd hold me
Every night for so long baby
And I like the way you'd say my name
In the middle of the night
While you were sleeping

I was believing in you
Was I mistaken
Do you mean, mean what you say
When you say our love could last forever
You might also likeWell I'd rather you be mean than love and lie
I'd rather hear the truth and have to say goodbye
I'd rather take a blow at least then I would know
But baby don't you break my heart slow

You would run around and lead me on forever
While I wait at home thinking that we're together
I wanted our love to last forever

Well I'd rather you be mean than love and lie
I'd rather hear the truth and have to say goodbye
I'd rather take a blow at least then I would know
But baby don't you break my heart slow",Cover
15,Back to December,Taylor Swift,Taylor Swift,Speak Now,2010,"I'm so glad you made time to see me
How's life? Tell me, how's your family?
I haven't seen them in a while
You've been good, busier than ever
We small talk, work and the weather
Your guard is up and I know why

Because the last time you saw me
Is still burned in the back of your mind
You gave me roses and I left them there to die

So, this is me swallowing my pride
Standing in front of you saying, ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December all the time

These days, I haven't been sleeping
Staying up, playing back myself leaving
When your birthday passed and I didn't call
And I think about summer, all the beautiful times
I watched you laughing from the passenger side
And realized I loved you in the fall
And then the cold came, the dark days
When fear crept into my mind
You gave me all your love and all I gave you was goodbye

So, this is me swallowing my pride
Standing in front of you, saying, ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and change my own mind
I go back to December all the time

I miss your tan skin, your sweet smile
So good to me, so right
And how you held me in your arms that September night
The first time you ever saw me cry
Maybe this is wishful thinking
Probably mindless dreaming
But if we loved again, I swear I'd love you right
I'd go back in time and change it, but I can't
So, if the chain is on your door, I understand

But this is me swallowing my pride
Standing in front of you, saying, ""I'm sorry for that night""
And I go back to December
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December, turn around and change my own mind
I go back to December all the time
All the time",Solo
16,Bad Blood,Taylor Swift,Taylor Swift Max Martin Shellback,1989,2014,"'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!

Did you have to do this?
I was thinking that you could be trusted
Did you have to ruin what was shiny?
Now it's all rusted
Did you have to hit me where I'm weak?
Baby, I couldn't breathe
And rub it in so deep
Salt in the wound like you're laughing right at me

Oh, it's so sad to
Think about the good times
You and I

'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!
Did you think we'd be fine?
Still got scars on my back from your knives
So don't think it's in the past
These kinds of wounds, they last and they last
Now, did you think it all through?
All these things will catch up to you
And time can heal, but this won't
So if you're coming my way
Just don't

Oh, it's so sad to
Think about the good times
You and I

'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
If you love like that, blood runs cold

'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em (Think we can solve 'em)
You made a really deep cut
And baby, now we've got bad blood, hey!
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done (Look what you've done)
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!",Solo
17,Bad Blood (remixed single version),Taylor Swift  featuring Kendrick Lamar,Taylor Swift Max Martin Shellback Kendrick Lamar,Non-album single[c],2015,"'Cause, baby, now we've got bad blood
You know it used to be mad love (Uh)
So take a look what you've done (Uh)
'Cause, baby, now we've got bad blood (Uh), hey! (Hey!)
I can't take it back, look where I'm at (Uh)
We was OG like D.O.C., remember that? (Remember that?)
My TLC was quite OD, ID my facts (ID my)
Now POV of you and me, similar Iraq
I don't hate you, but I hate to critique, overrate you
These beats of a dark heart, use basslines to replace you
Take time and erase you, love don't hear no more
No, I don't fear no more
Better yet, respect ain't quite sincere no more, ah!

Oh, it's so sad to
Think about the good times
You and I

'Cause, baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause, baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em (Uh)
You made a really deep cut (Uh)
And, baby, now we've got bad blood, hey! (Hey!)
Remember when you tried to write me off? (Uh-huh)
Remember when you thought I'd take a loss?
Don't you remember? You thought that I would need ya
Follow procedure, remember? Oh, wait, you got amnesia
It was my season for battle wounds
Battle scars, body bumped, bruised
Stabbed in the back; brimstone, fire jumping through
Still, all my life, I got money and power
And you gotta live with the bad blood now

Oh, it's so sad to
Think about the good times
You and I

'Cause, baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause, baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And, baby, now we've got bad blood, hey!
Band-Aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
You forgive, you forget, but you never let it go
Band-Aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts (Uh, uh)
If you love like that, blood runs cold

'Cause, baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause, baby, now we've got bad blood, hey! (Bad blood)
Now we've got problems
And I don't think we can solve 'em (Think we can solve 'em)
You made a really deep cut
And, baby, now we've got bad blood, hey!
'Cause, baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done (Look what you've done)
'Cause, baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And, baby, now we've got bad blood, hey!",Feature
18,Beautiful Eyes,Taylor Swift,Taylor Swift,Beautiful Eyes,2008,"Your beautiful eyes
Stare right into mine
And sometimes, I think of you late at night
I don't know why

I wanna be somewhere where you are
I wanna be where

You're here, your eyes are lookin' into mine
So baby, make me fly
My heart has never felt this way before
I'm looking through your - 
I'm looking through your eyes

I wake up, I'm alive
In only a little while, I'll cry
'Cause you're my lullaby
So baby, come hold me tight 'cause I

I wanna be everything you need
I wanna be where
You're here, your eyes are lookin' into mine
So baby, make me fly
My heart has never felt this way before
I'm looking through your - 
I'm looking through your eyes

Just as long as you're mine
I'll be your everything tonight
Let me love you, kiss you
Oh, baby, let me miss you
Let me see your, dream about, dream about
Dream about your eyes

Ah, ah
Beautiful eyes",Solo
19,Beautiful Ghosts,Taylor Swift,Taylor Swift Andrew Lloyd Webber,Cats: Highlights from the Motion Picture Soundtrack,2019,"Follow me home if you dare to
I wouldn't know where to lead you
Should I take chances when no one took chances on me?
So I watch from the dark, wait for my life to start
With no beauty in my memory

All that I wanted was to be wanted
Too young to wander London streets, alone and haunted
Born into nothing
At least you have something, something to cling to
Visions of dazzling rooms I'll never get let into
And the memories were lost long ago
But at least you have beautiful ghosts

Perilous night, their voices calling
A flicker of light before the dawning
Out here, the wild ones are taming the fear within me
Scared to call them my friends and be broken again
Is this hope just a mystical dream?

All that I wanted was to be wanted
Too young to wander London streets, alone and haunted
Born into nothing
At least you have something, something to cling to
Visions of dazzling rooms I'll never get let into
And the memories were lost long ago
But at least you have beautiful ghosts
And so maybe my home isn't what I had known
What I thought it would be
But I feel so alive with these phantoms of night
And I know that this life isn't safe, but it's wild and it's free

All that I wanted was to be wanted
I'll never wander London streets, alone and haunted
Born into nothing
With them, I have something, something to cling to
I never knew I'd love this world they've let me into
And the memories were lost long ago
So I'll dance with these beautiful ghosts
And the memories were lost long ago
So I'll dance with these beautiful ghosts",Solo
20,Begin Again,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021,"Took a deep breath in the mirror
He didn't like it when I wore high heels
But I do
Turn the lock and put my headphones on
He always said he didn't get this song
But I do, I do

I walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is
But I do

And you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

You said you never met one girl who
Had as many James Taylor records as you
But I do
We tell stories and you don't know why
I'm comin' off a little shy
But I do
But you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I wanna talk about that
And for the first time, what's past is past

'Cause you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

Hmm, hmm
But on a Wednesday, in a café, I watched it begin again",Solo
21,Bejeweled,Taylor Swift,Taylor Swift Jack Antonoff,Midnights,2022,"Baby love, I think I've been a little too kind
Didn't notice you walkin' all over my peace of mind
In the shoes I gave you as a present
Puttin' someone first only works when you're in their top five
And by the way, I'm goin' out tonight

Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put mе in the basement
Whеn I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice

Nice

Baby boy, I think I've been too good of a girl (Too good of a girl)
Did all the extra credit, then got graded on a curve
I think it's time to teach some lessons
I made you my world (Huh), have you heard? (Huh)
I can reclaim the land
And I miss you (Miss you), but I miss sparklin' (Nice)
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice

Nice

Sapphire tears on my face
Sadness became my whole sky
But some guy said my aura's moonstone
Just 'cause he was high
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do?
A diamond's gotta shine
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer (Shimmer)
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real (Nice), I polish up real nice

And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do? What's a girl gonna do?
I polish up nice
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer",Solo
22,The Best Day,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021,"I'm five years old, it's getting cold, I've got my big coat on
I hear your laugh and look up smiling at you, I run and run
Past the pumpkin patch and the tractor rides
Look now, the sky is gold
I hug your legs and fall asleep on the way home

I don't know why all the trees change in the fall
But I know you're not scared of anything at all
Don't know if Snow White's house is near or far away
But I know I had the best day with you today

I'm thirteen now
And don't know how my friends could be so mean
I come home crying and you hold me tight and grab the keys
And we drive and drive until we found a town far enough away
And we talk and window shop 'til I've forgotten all their names

I don't know who I'm going to talk to now at school
But I know I'm laughing on the car ride home with you
Don't know how long it's going to take to feel okay
But I know I had the best day with you today
I have an excellent father, his strength is making me stronger
God smiles on my little brother, inside and out
He's better than I am
I grew up in a pretty house and I had space to run
And I had the best days with you

There is a video I found from back when I was three
You set up a paint set in the kitchen and you're talking to me
It's the age of princesses and pirate ships and the seven dwarfs
And Daddy's smart
And you're the prettiest lady in the whole wide world

And now I know why all the trees change in the fall
I know you were on my side even when I was wrong
And I love you for giving me your eyes
For staying back and watching me shine
And I didn't know if you knew, so I'm taking this chance to say
That I had the best day with you today",Solo
